,address1,address2,applcBeDt,applcEnDt,buldNm,elevatorNo,elvtrAsignNo,elvtrDetailForm,elvtrDiv,elvtrForm,elvtrKindNm,elvtrSttsNm,frstInstallationDe,inspctInsttNm,installationDe,installationPlace,liveLoad,mnfcturcpnynm,ratedCap,ratedSpeed,shuttleFloorCnt,sido,sigungu
0,서울특별시 강남구 압구정로30길 23,(신사동),20240313,20250312,미승빌딩,0099093,1,VVVF,엘리베이터,권상식,승객용,운행중,19920601,서울강남지사,20000929,1-1,1000,현대엘리베이터(주),15,1.5,9,서울,강남구
1,서울특별시 강남구 논현로175길 64,(신사동),20240729,20250128,유표빌딩,0071534,1,VVVF,엘리베이터,권상식,승객용,운행중,19911219,서울강남지사,19911219,1-1,550,(주)대명엘리베이터(울산),7,1,5,서울,강남구
2,서울특별시 강남구 삼성로 212,(대치동),20240308,20240907,은마APT,0036067,40,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,30-2,900,엘지산전(주) 창원공장,13,1,14,서울,강남구
3,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036064,37,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,28-2,900,엘지산전(주) 창원공장,13,1,14,서울,강남구
4,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036063,36,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,28-1,900,(주)삼일엘텍,13,1,14,서울,강남구
5,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036062,35,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,27-1,1150,엘지산전(주) 창원공장,17,1,14,서울,강남구
6,서울특별시 강남구 삼성로 212,(대치동),20240530,20241129,은마APT,0036069,42,VVVF,엘리베이터,권상식,승객용,운행중,19791009,서울강남지사,19791009,31-2,900,엘지산전(주) 창원공장,13,1,14,서울,강남구
7,서울특별시 강남구 봉은사로67길 28,(삼성동),20240130,20250129,프리즘빌딩,0099933,1,VVVF,엘리베이터,권상식,승객용,운행중,20021028,서울강남지사,20240130,1-1,450,티케이엘리베이터코리아(주),6,1,6,서울,강남구
8,서울특별시 강남구 논현로175길 64,(신사동),유표빌딩,0071535,2,교류,엘리베이터,체인식,자동차용,운행중지(불합격),19911215,서울강남지사,19980921,1-2,1800,금강중공업(주),0.2,2,서울,강남구,,,
9,서울특별시 강남구 선릉로157길 15,(신사동),20240802,20250201,운헌빌딩,0009944,1,VVVF,엘리베이터,권상식,승객용,운행중,19930913,서울강남지사,19930913,1-1,750,엘지산전(주) 창원공장,11,1,7,서울,강남구
10,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009572,2,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160429,1001-2,750,현대엘리베이터(주),11,1.5,15,서울,강남구
11,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009573,3,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160429,1002-1,900,현대엘리베이터(주),13,1.5,15,서울,강남구
12,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009579,9,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160707,1004-1,600,현대엘리베이터(주),9,1.5,15,서울,강남구
13,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009578,8,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160708,1003-3,900,현대엘리베이터(주),13,1.5,15,서울,강남구
14,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009587,17,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160707,1007-2,750,현대엘리베이터(주),11,1.5,15,서울,강남구
15,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009571,1,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160708,1001-1,600,현대엘리베이터(주),9,1.5,15,서울,강남구
16,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009574,4,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1002-2,750,현대엘리베이터(주),11,1.5,15,서울,강남구
17,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009586,16,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160429,1007-1,900,현대엘리베이터(주),13,1.5,15,서울,강남구
18,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009585,15,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160707,1006-3,900,현대엘리베이터(주),13,1.5,15,서울,강남구
19,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009582,12,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1005-2,900,현대엘리베이터(주),13,1.5,15,서울,강남구
20,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009580,10,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1004-2,750,현대엘리베이터(주),11,1.5,15,서울,강남구
21,서울특별시 강남구 삼성로71길 16,(대치동),20240527,20250526,계봉빌딩,0033357,1,VVVF,엘리베이터,권상식,승객용,운행중,19901122,서울강남지사,20210527,1-1,550,현대엘리베이터(주),7,1,5,서울,강남구
22,서울특별시 강남구 언주로98길 37,(역삼동),20230915,20240914,한음빌딩,0007497,1,VVVF,엘리베이터,권상식,승객용,운행중,19950601,서울강남지사,20230915,1-1,630,티케이엘리베이터코리아(주),8,1,7,서울,강남구
23,서울특별시 강남구 압구정로10길 9,(신사동),20231207,20241206,대원빌딩(주)대원솔루션,0010669,1,VVVF,엘리베이터,권상식,승객용,운행중,19930601,서울강남지사,20181207,1-1,700,한림엘리베이터(주),10,1,7,서울,강남구
24,서울특별시 강남구 압구정로30길 17,(신사동),20231216,20241215,이소니프라자,0008502,2,VVVF,엘리베이터,권상식,소방구조용,운행중,19970214,서울강남지사,20220128,1-2,1000,현대엘리베이터(주),13,1.5,9,서울,강남구
25,서울특별시 강남구 압구정로30길 17,(신사동),20231216,20241215,이소니프라자,0008501,1,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,19970214,서울강남지사,20211217,1-1,1000,현대엘리베이터(주),13,1.5,9,서울,강남구
26,서울특별시 강남구 도산대로17길 19,(신사동),20231220,20240619,온암빌딩,0009284,1,VVVF,엘리베이터,권상식,승객용,운행중지(검사연기),19910601,서울강남지사,19910601,1-1,550,티케이엘리베이터코리아(주),8,1,5,서울,강남구
27,서울특별시 강남구 도산대로 176,(논현동),20240320,20240919,대광빌딩,0009661,1,VVVF,엘리베이터,권상식,승객용,운행중,19840914,서울강남지사,19840914,1-1,900,티케이엘리베이터코리아(주),13,1.25,7,서울,강남구
28,서울특별시 강남구 강남대로122길 22,(논현동),20240802,20250801,미래빌딩,0066600,1,VVVF,엘리베이터,권상식,승객용,운행중,19970806,서울강남지사,20210802,1-1,630,티케이엘리베이터코리아(주),8,1,7,서울,강남구
29,서울특별시 강남구 광평로56길 14,(수서동),20231214,20241213,하나빌딩,0011668,1,VVVF,엘리베이터,권상식,승객용,운행중,19960131,서울강남지사,20181214,1-1,550,현대엘리베이터(주),8,1,6,서울,강남구
30,서울특별시 강남구 도산대로 176,(논현동),20240320,20240919,대광빌딩,0009662,2,VVVF,엘리베이터,권상식,승객용,운행중,19840914,서울강남지사,19840914,1-2,900,티케이엘리베이터코리아(주),13,1.25,7,서울,강남구
31,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009577,7,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1003-2,1000,현대엘리베이터(주),15,1.5,15,서울,강남구
32,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009581,11,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160429,1005-1,750,현대엘리베이터(주),11,1.5,15,서울,강남구
33,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009583,13,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160429,1006-1,900,현대엘리베이터(주),13,1.5,15,서울,강남구
34,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009584,14,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1006-2,1000,현대엘리베이터(주),15,1.5,15,서울,강남구
35,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009588,18,VVVF,엘리베이터,권상식,승객용,운행중,19930721,서울강남지사,20160530,1007-3,900,현대엘리베이터(주),13,1.5,15,서울,강남구
36,서울특별시 강남구 선릉로 801,(신사동),20240615,20241214,배강빌딩,0077863,3,VVVF,엘리베이터,권상식,자동차용,운행중,19950601,서울강남지사,19950601,1-3,2000,금강중공업(주),0.5,4,서울,강남구,
37,서울특별시 강남구 선릉로 801,(신사동),20240615,20241214,배강빌딩,0077864,4,VVVF,엘리베이터,권상식,자동차용,운행중,19950601,서울강남지사,19950601,1-4,2000,금강중공업(주),0.5,4,서울,강남구,
38,서울특별시 강남구 영동대로71길 12,(대치동),20240125,20250124,대양빌딩,0009591,1,VVVF,엘리베이터,권상식,승객용,운행중,19920601,서울강남지사,20180125,1-1,550,오티스엘리베이터(유)서울,8,1,6,서울,강남구
39,서울특별시 강남구 논현로131길 6,(논현동),20231206,20241205,우남빌딩,0010463,1,VVVF,엘리베이터,권상식,승객용,운행중,19920601,서울강남지사,20191206,1-1,550,오티스엘리베이터(유)서울,7,1,5,서울,강남구
40,서울특별시 강남구 삼성로95길 10,(삼성동),20240120,20250119,핀업빌딩,0076781,1,VVVF,엘리베이터,권상식,승객용,운행중,19961028,서울강남지사,20210120,1-1,600,현대엘리베이터(주),8,1,7,서울,강남구
41,서울특별시 강남구 봉은사로108길 39,(삼성동),20240624,20241223,준성빌딩,0066687,1,VVVF,엘리베이터,권상식,승객용,운행중,19890216,서울강남지사,19890216,1-1,550,엘지산전(주) 주안공장,8,1,7,서울,강남구
42,서울특별시 강남구 선릉로121길 45,(논현동),20230419,20240418,좋은사람 좋은집,0010375,1,VVVF,엘리베이터,권상식,승객용,운행중,20020302,서울강남지사,20020302,1-1,550,오티스엘리베이터(유)창원공장,8,1,5,서울,강남구
43,서울특별시 강남구 언주로151길 7,(신사동),20240227,20250226,주성빌,0009996,1,VVVF,엘리베이터,권상식,장애인용,운행중,20020228,서울강남지사,20020228,1-1,900,현대엘리베이터(주),13,1.5,7,서울,강남구
44,서울특별시 강남구 선릉로112길 74,(삼성동),20230911,20240910,그라나다,0066083,1,VVVF,엘리베이터,권상식,승객용,운행중,20020829,서울강남지사,20020829,1-1,680,동양중공업(주),10,1,7,서울,강남구
45,서울특별시 강남구 봉은사로51길 13,(논현동),20240329,20250328,K2하우스,0010470,1,VVVF,엘리베이터,권상식,승객용,운행중,20020313,서울강남지사,20020313,1-1,550,오티스엘리베이터(유)창원공장,8,1,4,서울,강남구
46,서울특별시 강남구 역삼로25길 37,(역삼동),20231121,20241120,근도빌딩,0075137,1,VVVF,엘리베이터,권상식,승객용,운행중,20011108,서울강남지사,20011108,1-1,600,오티스엘리베이터(유)창원공장,9,1,5,서울,강남구
47,서울특별시 강남구 강남대로128길 70,(논현동),20240317,20240916,건혁센터,0045184,1,VVVF,엘리베이터,권상식,승객용,운행중,19950601,서울강남지사,19950601,1-1,550,엘지산전(주) 창원공장,8,1,5,서울,강남구
48,서울특별시 강남구 선릉로 801,(신사동),20240615,20241214,배강빌딩,0077865,5,VVVF,엘리베이터,권상식,자동차용,운행중,19950601,서울강남지사,19950601,1-5,2500,금강중공업(주),0.5,3,서울,강남구,
49,서울특별시 강남구 선릉로 801,(신사동),20240615,20241214,배강빌딩,0077866,6,VVVF,엘리베이터,권상식,자동차용,운행중,19950601,서울강남지사,19950601,1-6,2500,금강중공업(주),0.5,5,서울,강남구,
50,서울특별시 강남구 언주로 727,(논현동),20240504,20250503,트리스빌딩,0009420,3,VVVF,엘리베이터,권상식,소방구조/장애인용,운행중,20020312,서울강남지사,20220504,1-3,1150,오티스엘리베이터(유)서울,15,1.75,17,서울,강남구
51,서울특별시 강남구 강남대로162길 27-6,(신사동),20231018,20241017,라제빌딩,0066990,1,VVVF,엘리베이터,권상식,승객용,운행중,20021018,서울강남지사,20021018,1-1,750,현대엘리베이터(주),11,1,7,서울,강남구
52,서울특별시 강남구 영동대로 215,(대치동),20231227,20241226,일원빌딩,0009964,1,VVVF,엘리베이터,권상식,승객용,운행중,19900220,서울강남지사,20181227,1-1,550,(주)태화종합엘리베이터,8,1,5,서울,강남구
53,서울특별시 강남구 강남대로160길 37,(신사동),20231205,20241204,해성빌딩,0046849,1,VVVF,엘리베이터,권상식,승객용,운행중,20010907,서울강남지사,20010907,1-1,600,오티스엘리베이터(유)창원공장,9,1,4,서울,강남구
54,서울특별시 강남구 강남대로 446,(역삼동),20231213,20241212,강남한웰빌딩,0077329,1,VVVF,엘리베이터,권상식,승객용,운행중,19840601,서울강남지사,20011119,1-1,900,현대엘리베이터(주),13,1,10,서울,강남구
55,서울특별시 강남구 강남대로 446,(역삼동),20231213,20241212,강남한웰빌딩,0077330,2,VVVF,엘리베이터,권상식,승객용,운행중,19840102,서울강남지사,20011119,1-2,900,현대엘리베이터(주),13,1,10,서울,강남구
56,서울특별시 강남구 역삼로17길 24,(역삼동),20230224,20240223,더스테이 역삼,0008760,1,VVVF,엘리베이터,권상식,승객용,운행중,20020204,서울강남지사,20020204,1-1,680,현대엘리베이터(주),10,1,5,서울,강남구
57,서울특별시 강남구 삼성로71길 11-8,(대치동),20240329,20250328,대치타워,0087589,1,VVVF,엘리베이터,권상식,승객용,운행중,20030117,서울강남지사,20030117,1-1,550,대한승강기(주),8,1,7,서울,강남구
58,서울특별시 강남구 논현로 644,(논현동),20240327,20250326,지영빌딩,0066140,1,VVVF,엘리베이터,권상식,승객용,운행중,19871109,서울강남지사,20000824,1-1,900,오티스엘리베이터(유)창원공장,13,1,7,서울,강남구
59,서울특별시 강남구 언주로151길 13,(신사동),20231120,20241119,계천빌딩,0033581,1,VVVF,엘리베이터,권상식,승객용,운행중,20030118,서울강남지사,20231120,1-1,450,티케이엘리베이터코리아(주),6,1,6,서울,강남구
60,서울특별시 강남구 학동로11길 56,(논현동),20240331,20250330,백송빌딩,0009948,1,VVVF,엘리베이터,권상식,장애인용,운행중,20040220,서울강남지사,20040220,1-1,900,오티스엘리베이터(유)창원공장,13,1,5,서울,강남구
61,서울특별시 강남구 삼성로104길 5,(삼성동),20240204,20250203,삼성그랑빌,0033746,1,VVVF,엘리베이터,권상식,장애인용,운행중,20050204,서울강남지사,20050204,1-1,1000,오티스엘리베이터(유)창원공장,15,1,7,서울,강남구
62,서울특별시 강남구 강남대로126길 50,(논현동),20231114,20241113,유로빌딩,0067734,1,VVVF,엘리베이터,권상식,승객용,운행중,20060526,서울강남지사,20060526,1-1,550,티케이엘리베이터코리아(주),8,1,5,서울,강남구
63,서울특별시 강남구 학동로 135,(논현동),20240316,20250315,대은빌딩,0009818,1,VVVF,엘리베이터,권상식,승객용,운행중,20050316,서울강남지사,20050316,1-1,900,오티스엘리베이터(유)창원공장,13,1,5,서울,강남구
64,서울특별시 강남구 논현로 648,(논현동),20230829,20240828,선기빌딩,0065335,1,VVVF,엘리베이터,권상식,장애인용,운행중,20060829,서울강남지사,20060829,1-1,1000,오티스엘리베이터(유)창원공장,15,1,6,서울,강남구
