,건물주소1,건물주소2,검사유효기간(시작일자),검사유효기간(종료일자),건물명,승강기고유번호,승강기종류,승강기상태,최초설치일자,설치일자,최대정원,정격속도,운행층수
0,서울특별시 강남구 압구정로30길 23,(신사동),20240313,20250312,미승빌딩,0099093,승객용,운행중,19920601,20000929,15,1.5,9
1,서울특별시 강남구 논현로175길 64,(신사동),20240729,20250128,유표빌딩,0071534,승객용,운행중,19911219,19911219,7,1,5
2,서울특별시 강남구 삼성로 212,(대치동),20240308,20240907,은마APT,0036067,승객용,운행중,19791009,19791009,13,1,14
3,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036064,승객용,운행중,19791009,19791009,13,1,14
4,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036063,승객용,운행중,19791009,19791009,13,1,14
5,서울특별시 강남구 삼성로 212,(대치동),20240307,20240906,은마APT,0036062,승객용,운행중,19791009,19791009,17,1,14
6,서울특별시 강남구 삼성로 212,(대치동),20240530,20241129,은마APT,0036069,승객용,운행중,19791009,19791009,13,1,14
7,서울특별시 강남구 봉은사로67길 28,(삼성동),20240130,20250129,프리즘빌딩,0099933,승객용,운행중,20021028,20240130,6,1,6
9,서울특별시 강남구 선릉로157길 15,(신사동),20240802,20250201,운헌빌딩,0009944,승객용,운행중,19930913,19930913,11,1,7
10,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009572,승객용,운행중,19930721,20160429,11,1.5,15
11,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009573,승객용,운행중,19930721,20160429,13,1.5,15
12,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009579,승객용,운행중,19930721,20160707,9,1.5,15
13,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009578,승객용,운행중,19930721,20160708,13,1.5,15
14,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009587,승객용,운행중,19930721,20160707,11,1.5,15
15,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009571,승객용,운행중,19930721,20160708,9,1.5,15
16,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009574,승객용,운행중,19930721,20160530,11,1.5,15
17,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009586,승객용,운행중,19930721,20160429,13,1.5,15
18,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009585,승객용,운행중,19930721,20160707,13,1.5,15
19,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009582,승객용,운행중,19930721,20160530,13,1.5,15
20,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009580,승객용,운행중,19930721,20160530,11,1.5,15
21,서울특별시 강남구 삼성로71길 16,(대치동),20240527,20250526,계봉빌딩,0033357,승객용,운행중,19901122,20210527,7,1,5
22,서울특별시 강남구 언주로98길 37,(역삼동),20230915,20240914,한음빌딩,0007497,승객용,운행중,19950601,20230915,8,1,7
23,서울특별시 강남구 압구정로10길 9,(신사동),20231207,20241206,대원빌딩(주)대원솔루션,0010669,승객용,운행중,19930601,20181207,10,1,7
24,서울특별시 강남구 압구정로30길 17,(신사동),20231216,20241215,이소니프라자,0008502,소방구조용,운행중,19970214,20220128,13,1.5,9
25,서울특별시 강남구 압구정로30길 17,(신사동),20231216,20241215,이소니프라자,0008501,소방구조/장애인용,운행중,19970214,20211217,13,1.5,9
26,서울특별시 강남구 도산대로17길 19,(신사동),20231220,20240619,온암빌딩,0009284,승객용,운행중지(검사연기),19910601,19910601,8,1,5
27,서울특별시 강남구 도산대로 176,(논현동),20240320,20240919,대광빌딩,0009661,승객용,운행중,19840914,19840914,13,1.25,7
28,서울특별시 강남구 강남대로122길 22,(논현동),20240802,20250801,미래빌딩,0066600,승객용,운행중,19970806,20210802,8,1,7
29,서울특별시 강남구 광평로56길 14,(수서동),20231214,20241213,하나빌딩,0011668,승객용,운행중,19960131,20181214,8,1,6
30,서울특별시 강남구 도산대로 176,(논현동),20240320,20240919,대광빌딩,0009662,승객용,운행중,19840914,19840914,13,1.25,7
31,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009577,승객용,운행중,19930721,20160530,15,1.5,15
32,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009581,승객용,운행중,19930721,20160429,11,1.5,15
33,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009583,승객용,운행중,19930721,20160429,13,1.5,15
34,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009584,승객용,운행중,19930721,20160530,15,1.5,15
35,서울특별시 강남구 광평로19길 10,(수서동),20240613,20250612,수서10단지까치마을아파트,0009588,승객용,운행중,19930721,20160530,13,1.5,15
38,서울특별시 강남구 영동대로71길 12,(대치동),20240125,20250124,대양빌딩,0009591,승객용,운행중,19920601,20180125,8,1,6
39,서울특별시 강남구 논현로131길 6,(논현동),20231206,20241205,우남빌딩,0010463,승객용,운행중,19920601,20191206,7,1,5
40,서울특별시 강남구 삼성로95길 10,(삼성동),20240120,20250119,핀업빌딩,0076781,승객용,운행중,19961028,20210120,8,1,7
41,서울특별시 강남구 봉은사로108길 39,(삼성동),20240624,20241223,준성빌딩,0066687,승객용,운행중,19890216,19890216,8,1,7
42,서울특별시 강남구 선릉로121길 45,(논현동),20230419,20240418,좋은사람 좋은집,0010375,승객용,운행중,20020302,20020302,8,1,5
43,서울특별시 강남구 언주로151길 7,(신사동),20240227,20250226,주성빌,0009996,장애인용,운행중,20020228,20020228,13,1.5,7
44,서울특별시 강남구 선릉로112길 74,(삼성동),20230911,20240910,그라나다,0066083,승객용,운행중,20020829,20020829,10,1,7
45,서울특별시 강남구 봉은사로51길 13,(논현동),20240329,20250328,K2하우스,0010470,승객용,운행중,20020313,20020313,8,1,4
46,서울특별시 강남구 역삼로25길 37,(역삼동),20231121,20241120,근도빌딩,0075137,승객용,운행중,20011108,20011108,9,1,5
47,서울특별시 강남구 강남대로128길 70,(논현동),20240317,20240916,건혁센터,0045184,승객용,운행중,19950601,19950601,8,1,5
50,서울특별시 강남구 언주로 727,(논현동),20240504,20250503,트리스빌딩,0009420,소방구조/장애인용,운행중,20020312,20220504,15,1.75,17
51,서울특별시 강남구 강남대로162길 27-6,(신사동),20231018,20241017,라제빌딩,0066990,승객용,운행중,20021018,20021018,11,1,7
52,서울특별시 강남구 영동대로 215,(대치동),20231227,20241226,일원빌딩,0009964,승객용,운행중,19900220,20181227,8,1,5
53,서울특별시 강남구 강남대로160길 37,(신사동),20231205,20241204,해성빌딩,0046849,승객용,운행중,20010907,20010907,9,1,4
54,서울특별시 강남구 강남대로 446,(역삼동),20231213,20241212,강남한웰빌딩,0077329,승객용,운행중,19840601,20011119,13,1,10
55,서울특별시 강남구 강남대로 446,(역삼동),20231213,20241212,강남한웰빌딩,0077330,승객용,운행중,19840102,20011119,13,1,10
56,서울특별시 강남구 역삼로17길 24,(역삼동),20230224,20240223,더스테이 역삼,0008760,승객용,운행중,20020204,20020204,10,1,5
57,서울특별시 강남구 삼성로71길 11-8,(대치동),20240329,20250328,대치타워,0087589,승객용,운행중,20030117,20030117,8,1,7
58,서울특별시 강남구 논현로 644,(논현동),20240327,20250326,지영빌딩,0066140,승객용,운행중,19871109,20000824,13,1,7
