msfrtn_resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qtr_se,dclr_mnth,dclr_day,dclr_hour,dclr_min,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mnth,dsp_day,dsp_hour,dsp_min,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mnth,spt_arvl_day,spt_arvl_hour,spt_arvl_min,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mnth,resc_cmptn_day,resc_cmptn_hour,resc_cmptn_min,hmg_ymd,hmg_tm,hmg_yr,hmg_mnth,hmg_day,hmg_hour,hmg_min,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,gis_x_axis,gis_y_axis,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,frstt_nm,ward_nm,lfdau_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,time_unit
20231114402R00001,승강기,자체처리,20230101,002800,2023,겨울,1,01,01,00,28,일요일,20230101,002900,2023,01,01,00,29,20230101,003300,2023,01,01,00,33,20230101,003500,2023,01,01,00,35,20230101,004200,2023,01,01,00,42,서울특별시,강남구,삼성동,도시,동,204810.200000,545291.860000,1.20,승강기,위락시설,승강기 갇힘,강남소방서,구조대,,0.9,,1.0,200,72,,1503
20231119102R00001,승강기,보호자 인계,20230101,014100,2023,겨울,1,01,01,01,41,일요일,20230101,014200,2023,01,01,01,42,20230101,014700,2023,01,01,01,47,20230101,015200,2023,01,01,01,52,20230101,020000,2023,01,01,02,00,서울특별시,구로구,오류동,도시,동,186122.494000,543977.269400,1.50,공동주택,오피스텔,승강기 갇힘,구로소방서,수궁119안전센터,,1.5,,2.0,250,71,,1104
20231117402R00003,승강기,보호자 인계,20230101,050100,2023,겨울,1,01,01,05,01,일요일,20230101,050200,2023,01,01,05,02,20230101,051000,2023,01,01,05,10,20230101,051800,2023,01,01,05,18,20230101,053000,2023,01,01,05,30,서울특별시,강서구,화곡동,도시,동,187477.770000,548528.350000,2.40,승강기,공동주택,승강기 갇힘,강서소방서,구조대,,0.8,,2.0,290,62,,1185
20231120105R00002,승강기,자체처리,20230101,060600,2023,겨울,1,01,01,06,06,일요일,20230101,060700,2023,01,01,06,07,20230101,061300,2023,01,01,06,13,20230101,061900,2023,01,01,06,19,20230101,063000,2023,01,01,06,30,서울특별시,송파구,잠실동,도시,동,207280.780000,545612.490000,1.10,승강기,근린생활시설,승강기 갇힘,송파소방서,종합운동장119안전센터,,-0.2,,3.0,320,67,,962
20231102000R00003,승강기,기타안전조치,20230101,105500,2023,겨울,1,01,01,10,55,일요일,20230101,105700,2023,01,01,10,57,20230101,110000,2023,01,01,11,00,20230101,110000,2023,01,01,11,00,20230101,110000,2023,01,01,11,00,서울특별시,관악구,신림동,도시,동,194072.303900,541646.138700,2.60,종교시설,교회,승강기 갇힘,동작소방서,동작소방서,,-0.4,,2.0,270,66,,938
20231116103R00003,승강기,기타안전조치,20230101,105500,2023,겨울,1,01,01,10,55,일요일,20230101,105700,2023,01,01,10,57,20230101,110700,2023,01,01,11,07,20230101,111700,2023,01,01,11,17,20230101,114000,2023,01,01,11,40,서울특별시,관악구,신림동,도시,동,194072.303900,541646.138700,1.90,종교시설,교회,승강기 갇힘,관악소방서,신림119안전센터,,-0.4,,2.0,270,66,,938
20231117402R00008,승강기,기타안전조치,20230101,111500,2023,겨울,1,01,01,11,15,일요일,20230101,111600,2023,01,01,11,16,20230101,111900,2023,01,01,11,19,20230101,112500,2023,01,01,11,25,20230101,113000,2023,01,01,11,30,서울특별시,강서구,염창동,도시,동,189100.520000,549860.670000,1.80,업무시설,기타 업무시설,승강기 갇힘,강서소방서,구조대,,0.4,,4.0,290,58,,1025
20231118102R00002,승강기,인명구조,20230101,130800,2023,겨울,1,01,01,13,08,일요일,20230101,131000,2023,01,01,13,10,20230101,131200,2023,01,01,13,12,20230101,131800,2023,01,01,13,18,20230101,132500,2023,01,01,13,25,서울특별시,강동구,천호동,도시,동,211719.550000,548850.400000,0.10,승강기,공동주택,승강기 갇힘,강동소방서,천호119안전센터,,3.0,,3.0,270,45,,1331
20231108104R00002,승강기,타기관 인계,20230101,162200,2023,겨울,1,01,01,16,22,일요일,20230101,162200,2023,01,01,16,22,20230101,162700,2023,01,01,16,27,20230101,163000,2023,01,01,16,30,20230101,163500,2023,01,01,16,35,서울특별시,영등포구,대림동,도시,동,190813.396900,543722.896000,0.90,승강기,공동주택,승강기 갇힘,영등포소방서,대림119안전센터,,2.6,,4.0,290,33,,2000
20231102000R00006,승강기,보호자 인계,20230101,175500,2023,겨울,1,01,01,17,55,일요일,20230101,175600,2023,01,01,17,56,20230101,180700,2023,01,01,18,07,20230101,181200,2023,01,01,18,12,20230101,183000,2023,01,01,18,30,서울특별시,동작구,대방동,도시,동,193731.180000,545843.950000,2.20,승강기,공동주택,승강기 갇힘,동작소방서,동작소방서,,1.7,,3.0,270,29,,2000
