발생일자,건물명,승강기고유번호,주소,사고구분
1993-03-28,한양프라자,8056799,부산광역시 연제구 명륜로 3 (거제동),중대사고
1993-04-04,(학)순천향대학교부속구미병원,6008362,경상북도 구미시 1공단로 179 (공단동),중대사고
1993-05-05,(재)한국능력개발원,7031156,광주광역시 동구 무등로 339 (계림동),중대사고
1993-05-12,우진프라자,0094875,서울특별시 도봉구 해등로26길 7 (쌍문동),중대사고
1993-06-22,중도빌딩,,대전광역시 중구 계룡로 832 (오류동),중대사고
1993-07-01,스타프라자상가,3801124,경기도 안산시 상록구 화랑로 513 (성포동),중대사고
1993-07-04,동아빌딩,0041908,서울특별시 중구 남대문로 117 (다동),중대사고
1993-07-22,사립학교교직원연금공단,0086131,서울특별시 영등포구 여의나루로 27 (여의도동),중대사고
1993-08-09,한국에너지공단 미래에너지움,5800380,대전광역시 유성구 대덕대로 480 (도룡동),중대사고
1993-09-10,장원아파트,8018251,부산광역시 북구 산성로 66 (화명동),중대사고
1993-09-26,동산삼성아파트,,전라북도 익산시 평동로12길 11-1  (동산동),중대사고
1993-09-28,평택삼성아파트,,경기도 평택시 평남로 281 (통복동),중대사고
1993-11-12,영재빌딩,0008295,서울특별시 송파구 동남로24길 9 (오금동),중대사고
1993-11-19,(주)NC백화점중앙로역점,,대전광역시 중구 중앙로 141 (선화동),중대사고
1993-11-25,원광대학교병원,,전라북도 익산시 익산대로 501 (신용동),중대사고
1993-12-03,금산빌딩,,경기도 광명시 오리로 902 (철산동),중대사고
1993-12-22,학교법인종근당고촌학원,8001144,부산광역시 연제구 거제대로 270 (거제동),중대사고
1993-12-24,태전마트,5802288,대전광역시 동구 중앙로194번길 34-1 (원동),중대사고
1993-12-24,(주)한도파라곤호텔,8900343,부산광역시 사상구 광장로 46 (괘법동),중대사고
1994-01-06,수유벽산아파트,0055987,서울특별시 강북구 삼각산로 143-1 (수유동，벽산아파트),중대사고
1994-01-22,국제빌딩,0042752,서울특별시 중구 퇴계로73길 31 (신당동),중대사고
1994-01-31,켄싱턴리조트설악비치,4003185,강원도 고성군 토성면 동해대로 4800 ,중대사고
1994-02-04,증평삼일아파트,,충청북도 증평군 증평읍 장뜰로 110 ,중대사고
1994-03-04,남한강빌딩,0009002,서울특별시 강남구 선릉로 820 (청담동),중대사고
1994-04-03,오션타워,,부산광역시 해운대구 해운대해변로 203 (우동),중대사고
1994-04-20,(주)코지,,경기도 안양시 만안구 박달로 395 (박달동),중대사고
1994-05-28,연향동대우아파트,7041773,"전라남도 순천시 연향2로 55  (연향동, 대우아파트)",중대사고
1994-05-29,오복빌딩,,서울특별시 강동구 올림픽로 658 (천호동),중대사고
1994-06-28,알파오피스텔,,부산광역시 수영구 수영로 759 (수영동),중대사고
1994-07-05,부산의료원,,"부산광역시 연제구 월드컵대로 359 , 부산의료원 (거제동)",중대사고
1994-07-07,한창마운트맨션,8081934,경상남도 통영시 멘데산업길 11 (정량동),중대사고
1994-08-06,국제쇼핑타운아파트,,경상남도 김해시 활천로267번길 13 (삼방동),중대사고
1994-11-06,평화주공3단지,7045596,전라북도 전주시 완산구 덕적골2길 10 (평화동1가),중대사고
1994-11-10,남영노인전문병원,,대전광역시 동구 태전로 39 (정동),중대사고
1994-11-16,비파2차아파트,7013246,"전라남도 목포시 백년대로337번길 23 (상동, 비파2차아파트)",중대사고
1994-11-20,개신현대아파트,5060079,충청북도 청주시 서원구 성봉로220번길 23 (개신동),중대사고
1994-11-28,합덕프라자,5046744,충청남도 당진시 합덕읍 합덕시장로 214-4 ,중대사고
1994-12-16,진도빌딩,0082800,서울특별시 마포구 마포대로 44 (도화동),중대사고
1995-01-03,한국생산성본부빌딩,,서울특별시 종로구 새문안로5가길 32 (적선동),중대사고
1995-02-02,연수주공1차아파트,,"인천광역시 연수구 원인재로 315 (연수동, 주공아파트)",중대사고
1995-02-22,평촌1차한양아파트,2027092,경기도 안양시 동안구 달안로 78 (비산동),중대사고
1995-03-14,그린피아관광호텔,,경기도 화성시 세자로 438  (안녕동),중대사고
1995-03-28,부곡현대아파트,8003734,부산광역시 금정구 동부곡로27번길 85 (부곡동),중대사고
1995-04-03,회룡빌딩,7028401,광주광역시 남구 대남대로 323 (월산동),중대사고
1995-04-03,김해수련장,8070358,경상남도 김해시 생림대로 185-49 (삼계동),중대사고
1995-04-16,서원빌딩,0001669,서울특별시 종로구 삼일대로 469 (경운동),중대사고
1995-04-28,영원무역빌딩,,서울특별시 중구 만리재로 159 (만리동2가),중대사고
1995-05-10,서울시근로자복지관(한국노총),,서울특별시 영등포구 국회대로44길 10 (영등포동7가),중대사고
1995-05-29,삼호가든아파트,,부산광역시 해운대구 해운대로349번길 24 (우동),중대사고
1995-06-10,용신프라자,2112478,경기도 고양시 일산서구 일산로 542 용신프라자 (일산동),중대사고
1995-06-12,광주고려요양병원,7035511,광주광역시 동구 구성로 268 (계림동),중대사고
1995-06-24,여의도종합상가,0092751,서울특별시 영등포구 여의나루로 42 (여의도동),중대사고
1995-06-27,금복개발(주)덕산지점,,대구광역시 중구 달구벌대로 2105 (덕산동),중대사고
1995-06-28,성민빌딩,,서울특별시 구로구 디지털로32길 97-39 (구로동),중대사고
1995-07-24,동래럭키쇼핑센타,8047774,부산광역시 동래구 충렬대로107번길 54 (온천동),중대사고
1995-08-15,충남대학교병원,,대전광역시 중구 문화로 282 (대사동),중대사고
1995-09-23,용단예식장,,충청북도 청주시 청원구 내덕로 22  (우암동),중대사고
1995-10-07,파크타운아파트,,경기도 성남시 분당구 내정로 152 (수내동),중대사고
1995-12-08,괴정삼성타워아파트,,부산광역시 사하구 낙동대로140번길 99 (괴정동),중대사고
1996-01-16,가좌현대아파트,,인천광역시 서구 원적로124번길 21 (가좌동),중대사고
1996-01-30,현대프라자상가,,경상남도 창원시 마산회원구 내서읍 호원로 226 ,중대사고
1996-04-20,둔촌주공아파트,,"서울특별시 강동구 양재대로 1340 , 둔촌주공아파트 관리사무소 (둔촌동)",중대사고
1996-06-13,우체국금융개발원부산지사,,부산광역시 중구 중앙대로 63 (중앙동3가),중대사고
1996-10-04,레마빌딩,0078915,서울특별시 서초구 방배로 177 (방배동),중대사고
1997-01-08,이천일아울렛-광명철산점,,경기도 광명시 철산로 4 (철산동),중대사고
1997-02-10,연남빌딩,,서울특별시 관악구 쑥고개로 60 (봉천동),중대사고
1997-03-01,기업은행 노원지점,0015767,서울특별시 노원구 노해로 489 (상계동),중대사고
1997-03-03,연제동현대아파트,7040848,"광주광역시 북구 양일로 55  (연제동, 현대아파트)",중대사고
1997-04-18,정림동우성아파트,,대전광역시 서구 정림로 55 (정림동),중대사고
1997-05-12,남서울병원,,서울특별시 강남구 삼성로 507 (삼성동),중대사고
1997-06-19,대지쇼핑프라자,0044555,서울특별시 강북구 오패산로30길 10 (미아동),중대사고
1997-07-09,힐탑프라자,,부산광역시 해운대구 달맞이길117번나길 162 (중동),중대사고
1997-08-28,롯데백화점마산점,8070607,경상남도 창원시 마산합포구 동서동로 18  (신포동2가),중대사고
1997-09-01,(주)동인천역사,,인천광역시 중구 참외전로 121 (인현동),중대사고
1997-09-05,서울교통공사 4호선 충무로역,,서울특별시 중구 퇴계로 199 (필동2가),중대사고
1997-09-22,호서대벤처밸리관,,충청남도 아산시 배방읍 호서로79번길 20 ,중대사고
1997-09-24,(주)상마,,경상남도 김해시 주촌면 서부로1637번길 115-35 ,중대사고
1997-11-19,천일고속관광,8053975,부산광역시 동구 자성로133번길 10 (범일동),중대사고
1997-12-04,코리아비지니스관리단,,서울특별시 서초구 강남대로 309 (서초동),중대사고
1997-12-07,삼양빌딩,6016311,대구광역시 달서구 성서로 375 (이곡동),중대사고
1997-12-17,군자산호한양아파트,,경기도 안산시 단원구 달미로 10 (선부동),중대사고
1998-01-11,유니온빌딩,,경기도 과천시 별양상가3로 5 (별양동),중대사고
1998-01-20,대성테크,8900485,부산광역시 사상구 새벽시장로 135 (감전동),중대사고
1998-01-30,정동피에프브이,,서울특별시 중구 정동길 21-15 (정동),중대사고
1998-02-02,(주)한양카독크,,서울특별시 동대문구 천호대로97길 9 (장안동),중대사고
1998-02-14,승촌빌딩,5024477,대전광역시 중구 중교로 30 (대흥동),중대사고
1998-03-24,강릉우체국,,강원도 강릉시 경강로 2057 (성내동),중대사고
1998-04-07,한솔빌딩,,서울특별시 송파구 새말로8길 9 (문정동),중대사고
1998-04-08,한국철도공사 영등포역,1803650,"서울특별시 영등포구 경인로 846 , 3층 종합안내소(역무실)  (영등포동)",중대사고
1998-04-29,동상라이프타운,8002299,부산광역시 금정구 서동로175번길 46 (서동),중대사고
1998-05-18,종묘공영주차장,,서울특별시 종로구 종로 157 (훈정동),중대사고
1998-06-08,현대프라자(본오동),2109006,경기도 안산시 상록구 용신로 390 (본오동),중대사고
1998-06-15,KT율량빌딩,5022235,충청북도 청주시 청원구 공항로150번길 73 (율량동),중대사고
1998-06-15,세이백화점,5005141,대전광역시 중구 계백로 1700 (문화동),중대사고
1998-06-18,장미마을현대아파트,,경기도 성남시 분당구 장미로 101 (야탑동),중대사고
1998-07-10,상록수현대2차아파트,2108519,"경기도 안산시 상록구 감골2로 12 (사동, 상록수현대2차아파트)",중대사고
1998-07-16,하얏트아파트,8050749,부산광역시 남구 전선등로 31 (감만동),중대사고
1998-09-07,월계시영고층아파트,,서울특별시 노원구 마들로 111 (월계동),중대사고
1998-09-14,현대시티타워아울렛,1806088,서울특별시 중구 장충단로13길 20 (을지로6가),중대사고
1998-10-02,푸른사랑교회,2121425,인천광역시 서구 서달로49번길 10 (석남동),중대사고
1998-11-07,NC백화점 광주점,7019683,광주광역시 북구 경열로 249 (신안동),중대사고
1998-11-10,백로아파트,8027101,경상남도 창원시 마산회원구 내서읍 중리상곡로 20-1 (중리),중대사고
1998-11-25,대전법동주공3단지아파트,,대전광역시 대덕구 계족로663번길 34 (법동),중대사고
1998-12-02,매탄임광아파트,2085158,경기도 수원시 영통구 동수원로 316 (매탄동，임광아파트),중대사고
1998-12-08,해피월드여관,,경기도 안양시 만안구 장내로140번길 31-6 (안양동),중대사고
1998-12-12,삼희월드프라자,2117792,경기도 안양시 동안구 평촌대로211번길 16 (호계동),중대사고
1998-12-15,(주)삼원특수지,0068719,서울특별시 성동구 자동차시장1길 6 (용답동),중대사고
1998-12-19,산본5단지가야3차아파트,,"경기도 군포시 번영로 353 (산본동, 가야(주공)아파트)",중대사고
1998-12-27,해주정씨대종친회(정곡빌딩),0066163,"서울특별시 서초구 법원로 16 , 1705호 (서초동)",중대사고
1999-01-24,경촌빌딩,,인천광역시 계양구 효서로 362 (작전동),중대사고
1999-03-02,롯데쇼핑(주)노원점,,서울특별시 노원구 동일로 1414 (상계동),중대사고
1999-03-29,롯데마트덕진점,7800714,전라북도 전주시 덕진구 송천중앙로 153 (송천동1가),중대사고
1999-04-19,광명화스너(주),8020302,부산광역시 사하구 하신번영로127번길 7 (신평동),중대사고
1999-05-13,동아백화점구미점,6800841,경상북도 구미시 송원동로 28 (송정동),중대사고
1999-06-05,뉴코아타운,,"인천광역시 중구 홍예문로 90 (인현동, 뉴코아타운아파트)",중대사고
1999-06-10,수리고등학교,,경기도 군포시 수리산로 39 (산본동),중대사고
1999-07-14,한국철도공사 영등포역,,"서울특별시 영등포구 경인로 846 , 3층 종합안내소(역무실)  (영등포동)",중대사고
1999-08-23,홈플러스테스코(주)서면점,8800591,부산광역시 부산진구 동천로 4 (전포동),중대사고
1999-10-06,우성2차아파트,,충청북도 청주시 서원구 청남로2005번길 40 (분평동),중대사고
1999-10-17,AK플라자,1804637,서울특별시 구로구 구로중앙로 152  (구로동),중대사고
1999-11-05,한국공항공사제주지역본부,,제주특별자치도 제주시 공항로 2  (용담이동),중대사고
2000-01-20,덕소주공1단지아파트,2000515,경기도 남양주시 와부읍 덕소로97번길 34 ,중대사고
2000-02-07,(주)경동사,,대구광역시 남구 두류공원로 55 (대명동),중대사고
2000-02-23,(주)테크윈,,충청북도 청주시 흥덕구 직지대로474번길 60 (송정동),중대사고
2000-03-10,이천일아울렛-안양점,2027341,경기도 안양시 만안구 안양로 275 (안양동),중대사고
2000-03-14,우영테크노센터 입주자협의회,0039031,서울특별시 성동구 아차산로 144 (성수동2가),중대사고
2000-03-19,K컨벤션웨딩홀,0025205,서울특별시 구로구 경인로 314 (개봉동),중대사고
2000-03-22,월드마트,,전라북도 군산시 부곡1길 69 (나운동),중대사고
2000-03-23,삼각동서라아파트,7012410,"광주광역시 북구 우치로347번길 15 (삼각동, 삼각동 서라아파트)",중대사고
2000-03-26,청구종합상가,1806751,서울특별시 노원구 중계로 225 (중계동),중대사고
2000-04-10,부산도시공사반송아파트,,부산광역시 해운대구 신반송로 159 (반송동),중대사고
2000-04-24,대구도시철도공사1호선 아양교역,6802448,대구광역시 동구 아양로 지하 245 (신암동),중대사고
2000-05-17,와이즈파크,7801177,광주광역시 동구 충장로 72 (충장로3가),중대사고
2000-06-21,한국복합물류(주),2076386,경기도 군포시 번영로 82 (부곡동),중대사고
2000-07-01,한국지엠 주식회사,2058606,인천광역시 부평구 부평대로 233  (청천동),중대사고
2000-07-18,한국철도공사서울본부서울역사,,서울특별시 중구 청파로 426 (봉래동2가),중대사고
2000-07-25,김천농협,6800882,경상북도 김천시 자산로 147 (평화동),중대사고
2000-07-30,권선한양아파트,2101280,경기도 수원시 권선구 경수대로302번길 22 (권선동),중대사고
2000-08-06,서울교통공사5호선까치산역,1807671,서울특별시 강서구 강서로 지하 54 (화곡동),중대사고
2000-08-10,주공10단지산본주몽1차아파트,2055032,경기도 군포시 광정로 122 관리실(산본동，주몽1차아파트),중대사고
2000-08-21,롯데네슬레(주),5005836,충청북도 청주시 흥덕구 백봉로72번길 21 (송정동),중대사고
2000-11-13,교동초등학교,,강원도 속초시 만천1길 67 (교동),중대사고
2000-12-18,(주)삼육오마트,,서울특별시 노원구 노원로 330 (중계동),중대사고
2001-02-06,상계주공7단지아파트,,서울특별시 노원구 동일로 1456 (상계동),중대사고
2001-04-06,구로현대상선아파트,0031696,서울특별시 구로구 구일로10길 53 (구로동),중대사고
2001-04-21,율량초등학교,,충청북도 청주시 청원구 율봉로212번길 14  (율량동),중대사고
2001-05-08,KORAIL 대공원역,,경기도 과천시 대공원대로 지하 50 (과천동),중대사고
2001-05-12,켄싱턴리조트,7017389,전라북도 남원시 소리길 66 (어현동),중대사고
2001-05-15,(주)아발론,,경기도 안양시 만안구 현충로 2  (안양동),중대사고
2001-05-23,경신아파트,2110032,"경기도 파주시 정담길 123 (금촌동, 경신아파트)",중대사고
2001-05-27,원효로산호아파트,,서울특별시 용산구 원효로 66 (원효로4가，산호아파트),중대사고
2001-06-26,구로중앙하이츠아파트,0025298,서울특별시 구로구 구로동로47길 24 (구로동),중대사고
2001-06-30,예누림아파트,2052168,"경기도 안산시 상록구 감골2로 11 (사동, 예누림)",중대사고
2001-07-17,광주롯데백화점,7800150,광주광역시 동구 독립로 268 (대인동),중대사고
2001-07-17,(주)광주신세계,7800091,광주광역시 서구 무진대로 932 (광천동),중대사고
2001-07-20,청솔주공5단지아파트,2115418,경기도 성남시 분당구 금곡로 263 (금곡동),중대사고
2001-07-28,동대문밀리오레,1801605,서울특별시 중구 장충단로 263 (을지로6가),중대사고
2001-07-29,한국마사회,3801807,경기도 과천시 경마공원대로 107  (주암동),중대사고
2001-07-29,로얄나하나2차맨션아파트,4003039,"강원도 속초시 만천8길 7  (교동, 로얄나하나2차아파트)",중대사고
2001-08-10,목연마이텔,8050132,부산광역시 수영구 황령대로473번길 25 (남천동),중대사고
2001-08-12,탑피온,,인천광역시 연수구 청능대로 109 (연수동),중대사고
2001-09-09,프라임모터스빌딩,2027360,경기도 광명시 오리로651번길 5 (하안동),중대사고
2001-09-10,디와이홀딩스,,서울특별시 노원구 동일로 1419 (상계동),중대사고
2001-10-17,열매마을1단지삼부아파트,5022649,대전광역시 유성구 노은서로 222 (지족동),중대사고
2001-10-23,한솔프라자,2142128,경기도 군포시 산본로323번길 16-31 (산본동),중대사고
2001-10-23,쌍용프라자,,서울특별시 송파구 동남로 189 (가락동),중대사고
2001-11-11,(주)신세계 마산점,8801693,경상남도 창원시 마산합포구 합포로 251 (산호동),중대사고
2001-11-25,원석학원성남빌딩,0031453,서울특별시 영등포구 영중로8길 6 (영등포동3가),중대사고
2001-11-28,(주)메가마트 동래점,8803130,부산광역시 동래구 충렬대로 197 (명륜동),중대사고
2001-12-03,울산대학교학생생활관,8038507,"울산광역시 남구 대학로 93 , 학생생활관  (무거동)",중대사고
2001-12-30,씨티빌오피스텔,8012368,경상남도 창원시 마산합포구 3·15대로 77 (월남동2가),중대사고
2002-02-01,유화프라자,2026094,경기도 군포시 번영로 515 (산본동),중대사고
2002-03-16,횡성금광포란재아파트,4004920,강원도 횡성군 횡성읍 읍하로25번길 17 (금광포란재아파트),중대사고
2002-04-02,신일산연합상가,2041728,경기도 고양시 일산서구 일산로 562 (일산동),중대사고
2002-04-09,롯데월드,1801907,서울특별시 송파구 올림픽로 240 (잠실동),중대사고
2002-04-22,서울교통공사8호선몽촌토성역,1806998,서울특별시 송파구 올림픽로 지하 383 (신천동),중대사고
2002-05-10,기린오피스텔,7016831,전라북도 전주시 완산구 전주객사4길 46 (고사동),중대사고
2002-07-26,차의과학대학교분당차병원,3903041,경기도 성남시 분당구 야탑로 59 (야탑동),중대사고
2002-07-30,늘봄공원,,서울 강남구 논현2동 92-12 ,중대사고
2002-08-11,동주빌딩,,서울특별시 강남구 테헤란로8길 8 (역삼동),중대사고
2002-08-18,한국철도공사 분당선 복정역,1802364,서울특별시 송파구 송파대로 6 (장지동),중대사고
2002-09-22,(주)세이브존아이앤씨,1806728,서울특별시 노원구 한글비석로 57 (하계동),중대사고
2002-10-21,서울교통공사5호선신길역,,서울특별시 영등포구 경인로114가길 지하 9 (영등포동1가),중대사고
2002-11-03,(주)서울오션아쿠아리움,,"서울특별시 강남구 영동대로 513 , (주)서울오션 아쿠아리움 (삼성동)",중대사고
2002-12-16,동광빌딩,,경기도 동두천시 평화로 2445 (생연동),중대사고
2002-12-18,신세계아파트,,"인천광역시 남동구 호구포로 858 (구월동, 신세계아파트)",중대사고
2002-12-20,우진빌딩,0019191,서울특별시 강북구 한천로 1172 (수유동),중대사고
2003-01-04,롯데쇼핑(주)구리점,3800036,경기도 구리시 경춘로 261 (인창동),중대사고
2003-01-12,서초웨딩홀(정곡빌딩),,서울특별시 서초구 법원로 10 (서초동),중대사고
2003-01-16,홈플러스(주)김포점,3801497,경기도 김포시 중봉로 14 (감정동),중대사고
2003-01-17,강촌라이프1차아파트,2113205,"경기도 고양시 일산동구 강석로 110 관리사무소  (마두동, 강촌마을5단지아파트)",중대사고
2003-01-27,브레스트제과점,,서울특별시 동작구 양녕로25길 2-11  (상도동),중대사고
2003-02-02,보배수산,,충청남도 보령시 머드로 55 (신흑동),중대사고
2003-02-21,모우빌딩,2144008,경기도 안양시 동안구 평촌대로223번길 44 (호계동),중대사고
2003-02-22,현대카멜리아 오뜨,8001675,부산광역시 해운대구 마린시티1로 167 (우동),중대사고
2003-03-04,스타웨딩홀,,전라남도 나주시 풍물시장2길 21 (이창동),중대사고
2003-03-07,성산임대아파트,0084170,서울특별시 마포구 월드컵로 207 (성산동),중대사고
2003-03-16,목동현대백화점,1808237,서울특별시 양천구 목동동로 257 (목동),중대사고
2003-03-22,은행대우1차아파트,2016437,경기도 시흥시 은행로 122 (은행동，대우1차아파트),중대사고
2003-03-27,성신빌딩,,서울특별시 동대문구 장한로 53  (장안동),중대사고
2003-04-01,중앙상가,8013920,경상남도 창원시 마산회원구 내서읍 상곡로 22 ,중대사고
2003-04-10,삼성주차장,5002397,대전광역시 동구 중교로 131 (원동),중대사고
2003-04-11,샘머리아파트2단지,5023121,대전광역시 서구 청사로 281 (둔산동),중대사고
2003-04-16,양산신도시벽산블루밍아파트 ,8043884,경상남도 양산시 양주로 39 (남부동，양산신도시8단지주공아파트),중대사고
2003-04-28,광남고등학교,1902088,서울특별시 광진구 아차산로70길 17-16 (광장동),중대사고
2003-05-01,베스트스토아,,서울특별시 관악구 은천로 28 (봉천동),중대사고
2003-05-06,롯데백화점창원점,8804121,경상남도 창원시 성산구 중앙대로 124  (상남동),중대사고
2003-05-28,구미조합상가(신청서분리발송),2051940,경기도 성남시 분당구 느티로 65 (정자동),중대사고
